Person Group,Day Pattern,Count
Child too young for school,Home,140975
Child too young for school,Mandatory,248868
Child too young for school,Non-Mandatory,213499
Full-time worker,Home,428557
Full-time worker,Mandatory,2261097
Full-time worker,Non-Mandatory,414175
Non-worker,Home,316094
Non-worker,Non-Mandatory,519547
Part-time worker,Home,94881
Part-time worker,Mandatory,372238
Part-time worker,Non-Mandatory,225832
Retired,Home,585029
Retired,Non-Mandatory,583147
Student of driving age,Home,24666
Student of driving age,Mandatory,201028
Student of driving age,Non-Mandatory,18528
Student of non-driving age,Home,76780
Student of non-driving age,Mandatory,870662
Student of non-driving age,Non-Mandatory,84719
University student,Home,47057
University student,Mandatory,151615
University student,Non-Mandatory,58572
