ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  66057.00,  12388.00,    380.00, 104301.00, 221854.00,    582.00, 170358.00, 234242.00,    962.00,  78825.00, 326737.00, 405562.00
      1.00,      2.00,  15044.00,   2721.00,    118.00,  18417.00,  47217.00,    196.00,  33461.00,  49938.00,    314.00,  17883.00,  65830.00,  83713.00
      1.00,      3.00,   6259.00,   1046.00,    267.00,   2609.00,   6239.00,    195.00,   8868.00,   7285.00,    462.00,   7572.00,   9043.00,  16615.00
      1.00,      4.00,   2362.00,    312.00,    170.00,    405.00,    954.00,     38.00,   2767.00,   1266.00,    208.00,   2844.00,   1397.00,   4241.00
      1.00,      5.00,    359.00,     68.00,     34.00,     60.00,    147.00,      5.00,    419.00,    215.00,     39.00,    461.00,    212.00,    673.00
      1.00,      6.00,   1017.00,    163.00,    120.00,    202.00,    479.00,     68.00,   1219.00,    642.00,    188.00,   1300.00,    749.00,   2049.00
      1.00,      7.00,    284.00,     47.00,     40.00,     61.00,    132.00,     15.00,    345.00,    179.00,     55.00,    371.00,    208.00,    579.00
      1.00,      8.00,    499.00,     89.00,    208.00,     86.00,    209.00,     42.00,    585.00,    298.00,    250.00,    796.00,    337.00,   1133.00
      1.00,      9.00,    184.00,     40.00,     22.00,     51.00,    101.00,      4.00,    235.00,    141.00,     26.00,    246.00,    156.00,    402.00
      1.00,     10.00,     79.00,     21.00,      2.00,     19.00,     49.00,         0,     98.00,     70.00,      2.00,    102.00,     68.00,    170.00
      1.00,     11.00,    150.00,     35.00,      8.00,     32.00,     38.00,      2.00,    182.00,     73.00,     10.00,    193.00,     72.00,    265.00
      1.00,     12.00,     59.00,     25.00,      9.00,     23.00,     40.00,      1.00,     82.00,     65.00,     10.00,     93.00,     64.00,    157.00
      1.00,     15.00,    347.00,     54.00,         0,    100.00,    388.00,      1.00,    447.00,    442.00,      1.00,    401.00,    489.00,    890.00
      1.00,     16.00,    284.00,     47.00,         0,     77.00,    241.00,         0,    361.00,    288.00,         0,    331.00,    318.00,    649.00
      1.00,     17.00,   4375.00,    774.00,      2.00,   2441.00,   8335.00,     11.00,   6816.00,   9109.00,     13.00,   5151.00,  10787.00,  15938.00
      1.00,     18.00,   2649.00,    477.00,      2.00,   1389.00,   4449.00,      3.00,   4038.00,   4926.00,      5.00,   3128.00,   5841.00,   8969.00
      1.00,     21.00,     49.00,     14.00,      3.00,      9.00,     20.00,         0,     58.00,     34.00,      3.00,     66.00,     29.00,     95.00
      1.00,     22.00,     97.00,     27.00,      3.00,     25.00,     43.00,      2.00,    122.00,     70.00,      5.00,    127.00,     70.00,    197.00
      1.00,     23.00,     37.00,     10.00,      2.00,     14.00,     25.00,      4.00,     51.00,     35.00,      6.00,     49.00,     43.00,     92.00
      1.00,     24.00,     41.00,     17.00,      1.00,     18.00,     14.00,         0,     59.00,     31.00,      1.00,     59.00,     32.00,     91.00
