PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,WORK SUB-TOUR,93
ALL,1,EATOUT,199
ALL,1,ESCORT,1624
ALL,1,HOME,5128821
ALL,1,OTHER DISCRETIONARY,763
ALL,1,OTHER MAINTENANCE,2181
ALL,1,SCHOOL,1832
ALL,1,SHOPPING,957
ALL,1,SOCIAL,358
ALL,1,UNIVERSITY,213
ALL,1,WORK,3308
ALL,2,WORK SUB-TOUR,222
ALL,2,EATOUT,520
ALL,2,ESCORT,3276
ALL,2,HOME,5118534
ALL,2,OTHER DISCRETIONARY,1417
ALL,2,OTHER MAINTENANCE,4578
ALL,2,SCHOOL,2898
ALL,2,SHOPPING,2044
ALL,2,SOCIAL,830
ALL,2,UNIVERSITY,394
ALL,2,WORK,8744
ALL,3,WORK SUB-TOUR,474
ALL,3,EATOUT,911
ALL,3,ESCORT,4654
ALL,3,HOME,5107866
ALL,3,OTHER DISCRETIONARY,2549
ALL,3,OTHER MAINTENANCE,6867
ALL,3,SCHOOL,3548
ALL,3,SHOPPING,3120
ALL,3,SOCIAL,1486
ALL,3,UNIVERSITY,571
ALL,3,WORK,18256
ALL,4,WORK SUB-TOUR,804
ALL,4,EATOUT,3777
ALL,4,ESCORT,7060
ALL,4,HOME,5093943
ALL,4,OTHER DISCRETIONARY,4564
ALL,4,OTHER MAINTENANCE,10377
ALL,4,SCHOOL,3922
ALL,4,SHOPPING,4262
ALL,4,SOCIAL,2457
ALL,4,UNIVERSITY,897
ALL,4,WORK,35902
ALL,5,WORK SUB-TOUR,1304
ALL,5,EATOUT,6296
ALL,5,ESCORT,9514
ALL,5,HOME,5068650
ALL,5,OTHER DISCRETIONARY,12150
ALL,5,OTHER MAINTENANCE,15160
ALL,5,SCHOOL,4150
ALL,5,SHOPPING,5218
ALL,5,SOCIAL,3546
ALL,5,UNIVERSITY,1417
ALL,5,WORK,75514
ALL,6,WORK SUB-TOUR,1844
ALL,6,EATOUT,8401
ALL,6,ESCORT,15379
ALL,6,HOME,5018775
ALL,6,OTHER DISCRETIONARY,18987
ALL,6,OTHER MAINTENANCE,22241
ALL,6,SCHOOL,4314
ALL,6,SHOPPING,6960
ALL,6,SOCIAL,4771
ALL,6,UNIVERSITY,2522
ALL,6,WORK,153461
ALL,7,WORK SUB-TOUR,2374
ALL,7,EATOUT,10307
ALL,7,ESCORT,30050
ALL,7,HOME,4932648
ALL,7,OTHER DISCRETIONARY,25272
ALL,7,OTHER MAINTENANCE,33443
ALL,7,SCHOOL,31291
ALL,7,SHOPPING,10966
ALL,7,SOCIAL,6520
ALL,7,UNIVERSITY,4734
ALL,7,WORK,281701
ALL,8,WORK SUB-TOUR,3333
ALL,8,EATOUT,12233
ALL,8,ESCORT,64583
ALL,8,HOME,4771872
ALL,8,OTHER DISCRETIONARY,31454
ALL,8,OTHER MAINTENANCE,49585
ALL,8,SCHOOL,145484
ALL,8,SHOPPING,18449
ALL,8,SOCIAL,9261
ALL,8,UNIVERSITY,9477
ALL,8,WORK,479761
ALL,9,WORK SUB-TOUR,4975
ALL,9,EATOUT,15819
ALL,9,ESCORT,149611
ALL,9,HOME,4450034
ALL,9,OTHER DISCRETIONARY,42662
ALL,9,OTHER MAINTENANCE,73252
ALL,9,SCHOOL,423933
ALL,9,SHOPPING,32443
ALL,9,SOCIAL,16181
ALL,9,UNIVERSITY,19532
ALL,9,WORK,739926
ALL,10,WORK SUB-TOUR,7238
ALL,10,EATOUT,22171
ALL,10,ESCORT,245551
ALL,10,HOME,3837814
ALL,10,OTHER DISCRETIONARY,57227
ALL,10,OTHER MAINTENANCE,104257
ALL,10,SCHOOL,725171
ALL,10,SHOPPING,53141
ALL,10,SOCIAL,23299
ALL,10,UNIVERSITY,25981
ALL,10,WORK,953575
ALL,11,WORK SUB-TOUR,10296
ALL,11,EATOUT,25659
ALL,11,ESCORT,231085
ALL,11,HOME,3217267
ALL,11,OTHER DISCRETIONARY,74140
ALL,11,OTHER MAINTENANCE,130989
ALL,11,SCHOOL,886109
ALL,11,SHOPPING,72282
ALL,11,SOCIAL,27749
ALL,11,UNIVERSITY,36488
ALL,11,WORK,1128766
ALL,12,WORK SUB-TOUR,14277
ALL,12,EATOUT,25569
ALL,12,ESCORT,166931
ALL,12,HOME,2818183
ALL,12,OTHER DISCRETIONARY,89162
ALL,12,OTHER MAINTENANCE,143791
ALL,12,SCHOOL,934963
ALL,12,SHOPPING,80376
ALL,12,SOCIAL,29978
ALL,12,UNIVERSITY,42936
ALL,12,WORK,1254128
ALL,13,WORK SUB-TOUR,19495
ALL,13,EATOUT,28232
ALL,13,ESCORT,116184
ALL,13,HOME,2599320
ALL,13,OTHER DISCRETIONARY,108311
ALL,13,OTHER MAINTENANCE,159846
ALL,13,SCHOOL,957967
ALL,13,SHOPPING,98689
ALL,13,SOCIAL,37844
ALL,13,UNIVERSITY,49641
ALL,13,WORK,1341808
ALL,14,WORK SUB-TOUR,27154
ALL,14,EATOUT,29367
ALL,14,ESCORT,91319
ALL,14,HOME,2430813
ALL,14,OTHER DISCRETIONARY,122441
ALL,14,OTHER MAINTENANCE,172954
ALL,14,SCHOOL,969558
ALL,14,SHOPPING,114547
ALL,14,SOCIAL,43896
ALL,14,UNIVERSITY,53804
ALL,14,WORK,1391395
ALL,15,WORK SUB-TOUR,39777
ALL,15,EATOUT,30978
ALL,15,ESCORT,81466
ALL,15,HOME,2329513
ALL,15,OTHER DISCRETIONARY,130120
ALL,15,OTHER MAINTENANCE,196636
ALL,15,SCHOOL,975990
ALL,15,SHOPPING,140773
ALL,15,SOCIAL,49660
ALL,15,UNIVERSITY,57491
ALL,15,WORK,1424733
ALL,16,WORK SUB-TOUR,59999
ALL,16,EATOUT,31917
ALL,16,ESCORT,76951
ALL,16,HOME,2234579
ALL,16,OTHER DISCRETIONARY,129762
ALL,16,OTHER MAINTENANCE,204673
ALL,16,SCHOOL,979096
ALL,16,SHOPPING,160490
ALL,16,SOCIAL,54167
ALL,16,UNIVERSITY,60552
ALL,16,WORK,1447460
ALL,17,WORK SUB-TOUR,106474
ALL,17,EATOUT,38163
ALL,17,ESCORT,76214
ALL,17,HOME,2185778
ALL,17,OTHER DISCRETIONARY,126664
ALL,17,OTHER MAINTENANCE,209497
ALL,17,SCHOOL,979673
ALL,17,SHOPPING,171635
ALL,17,SOCIAL,58533
ALL,17,UNIVERSITY,63209
ALL,17,WORK,1463298
ALL,18,WORK SUB-TOUR,216206
ALL,18,EATOUT,51543
ALL,18,ESCORT,78205
ALL,18,HOME,2151362
ALL,18,OTHER DISCRETIONARY,121954
ALL,18,OTHER MAINTENANCE,212007
ALL,18,SCHOOL,977914
ALL,18,SHOPPING,179773
ALL,18,SOCIAL,62896
ALL,18,UNIVERSITY,65417
ALL,18,WORK,1467810
ALL,19,WORK SUB-TOUR,315030
ALL,19,EATOUT,62913
ALL,19,ESCORT,81395
ALL,19,HOME,2133108
ALL,19,OTHER DISCRETIONARY,116307
ALL,19,OTHER MAINTENANCE,212304
ALL,19,SCHOOL,973949
ALL,19,SHOPPING,184030
ALL,19,SOCIAL,66231
ALL,19,UNIVERSITY,67239
ALL,19,WORK,1413357
ALL,20,WORK SUB-TOUR,341560
ALL,20,EATOUT,70934
ALL,20,ESCORT,85078
ALL,20,HOME,2128887
ALL,20,OTHER DISCRETIONARY,110827
ALL,20,OTHER MAINTENANCE,211791
ALL,20,SCHOOL,968312
ALL,20,SHOPPING,183421
ALL,20,SOCIAL,68475
ALL,20,UNIVERSITY,68562
ALL,20,WORK,1403691
ALL,21,WORK SUB-TOUR,263074
ALL,21,EATOUT,69774
ALL,21,ESCORT,89803
ALL,21,HOME,2137826
ALL,21,OTHER DISCRETIONARY,106561
ALL,21,OTHER MAINTENANCE,212735
ALL,21,SCHOOL,960415
ALL,21,SHOPPING,177498
ALL,21,SOCIAL,70495
ALL,21,UNIVERSITY,69189
ALL,21,WORK,1442458
ALL,22,WORK SUB-TOUR,172858
ALL,22,EATOUT,62276
ALL,22,ESCORT,100011
ALL,22,HOME,2146557
ALL,22,OTHER DISCRETIONARY,104437
ALL,22,OTHER MAINTENANCE,209223
ALL,22,SCHOOL,949470
ALL,22,SHOPPING,173432
ALL,22,SOCIAL,73013
ALL,22,UNIVERSITY,69310
ALL,22,WORK,1477019
ALL,23,WORK SUB-TOUR,117075
ALL,23,EATOUT,58778
ALL,23,ESCORT,133131
ALL,23,HOME,2165168
ALL,23,OTHER DISCRETIONARY,104632
ALL,23,OTHER MAINTENANCE,212054
ALL,23,SCHOOL,933216
ALL,23,SHOPPING,177040
ALL,23,SOCIAL,76875
ALL,23,UNIVERSITY,68758
ALL,23,WORK,1485794
ALL,24,WORK SUB-TOUR,77639
ALL,24,EATOUT,55810
ALL,24,ESCORT,172951
ALL,24,HOME,2238062
ALL,24,OTHER DISCRETIONARY,107822
ALL,24,OTHER MAINTENANCE,210961
ALL,24,SCHOOL,904067
ALL,24,SHOPPING,184048
ALL,24,SOCIAL,81709
ALL,24,UNIVERSITY,67510
ALL,24,WORK,1471865
ALL,25,WORK SUB-TOUR,57906
ALL,25,EATOUT,56706
ALL,25,ESCORT,163644
ALL,25,HOME,2409489
ALL,25,OTHER DISCRETIONARY,111548
ALL,25,OTHER MAINTENANCE,203425
ALL,25,SCHOOL,761848
ALL,25,SHOPPING,188745
ALL,25,SOCIAL,84798
ALL,25,UNIVERSITY,65275
ALL,25,WORK,1445488
ALL,26,WORK SUB-TOUR,42110
ALL,26,EATOUT,60277
ALL,26,ESCORT,165130
ALL,26,HOME,2599622
ALL,26,OTHER DISCRETIONARY,120322
ALL,26,OTHER MAINTENANCE,205089
ALL,26,SCHOOL,647767
ALL,26,SHOPPING,189818
ALL,26,SOCIAL,89611
ALL,26,UNIVERSITY,61998
ALL,26,WORK,1399955
ALL,27,WORK SUB-TOUR,29509
ALL,27,EATOUT,64113
ALL,27,ESCORT,158240
ALL,27,HOME,2834313
ALL,27,OTHER DISCRETIONARY,129896
ALL,27,OTHER MAINTENANCE,202754
ALL,27,SCHOOL,490857
ALL,27,SHOPPING,189624
ALL,27,SOCIAL,92172
ALL,27,UNIVERSITY,54953
ALL,27,WORK,1333252
ALL,28,WORK SUB-TOUR,20923
ALL,28,EATOUT,66769
ALL,28,ESCORT,146716
ALL,28,HOME,3102274
ALL,28,OTHER DISCRETIONARY,136935
ALL,28,OTHER MAINTENANCE,192155
ALL,28,SCHOOL,336653
ALL,28,SHOPPING,182140
ALL,28,SOCIAL,90205
ALL,28,UNIVERSITY,49517
ALL,28,WORK,1232727
ALL,29,WORK SUB-TOUR,14488
ALL,29,EATOUT,72560
ALL,29,ESCORT,130735
ALL,29,HOME,3344481
ALL,29,OTHER DISCRETIONARY,178367
ALL,29,OTHER MAINTENANCE,182589
ALL,29,SCHOOL,232261
ALL,29,SHOPPING,180071
ALL,29,SOCIAL,93976
ALL,29,UNIVERSITY,46254
ALL,29,WORK,1101182
ALL,30,WORK SUB-TOUR,10055
ALL,30,EATOUT,82177
ALL,30,ESCORT,120794
ALL,30,HOME,3530290
ALL,30,OTHER DISCRETIONARY,225342
ALL,30,OTHER MAINTENANCE,176903
ALL,30,SCHOOL,185116
ALL,30,SHOPPING,188651
ALL,30,SOCIAL,96951
ALL,30,UNIVERSITY,41707
ALL,30,WORK,922338
ALL,31,WORK SUB-TOUR,7118
ALL,31,EATOUT,94938
ALL,31,ESCORT,109230
ALL,31,HOME,3727334
ALL,31,OTHER DISCRETIONARY,276317
ALL,31,OTHER MAINTENANCE,161132
ALL,31,SCHOOL,148041
ALL,31,SHOPPING,180801
ALL,31,SOCIAL,103151
ALL,31,UNIVERSITY,37056
ALL,31,WORK,718765
ALL,32,WORK SUB-TOUR,5484
ALL,32,EATOUT,105468
ALL,32,ESCORT,96137
ALL,32,HOME,3896043
ALL,32,OTHER DISCRETIONARY,318937
ALL,32,OTHER MAINTENANCE,158477
ALL,32,SCHOOL,111366
ALL,32,SHOPPING,168485
ALL,32,SOCIAL,107447
ALL,32,UNIVERSITY,32318
ALL,32,WORK,538420
ALL,33,WORK SUB-TOUR,4531
ALL,33,EATOUT,115515
ALL,33,ESCORT,92790
ALL,33,HOME,3993856
ALL,33,OTHER DISCRETIONARY,333389
ALL,33,OTHER MAINTENANCE,147695
ALL,33,SCHOOL,81836
ALL,33,SHOPPING,161678
ALL,33,SOCIAL,111779
ALL,33,UNIVERSITY,30189
ALL,33,WORK,395178
ALL,34,WORK SUB-TOUR,4068
ALL,34,EATOUT,114996
ALL,34,ESCORT,84241
ALL,34,HOME,4108827
ALL,34,OTHER DISCRETIONARY,313542
ALL,34,OTHER MAINTENANCE,126091
ALL,34,SCHOOL,59005
ALL,34,SHOPPING,143449
ALL,34,SOCIAL,106667
ALL,34,UNIVERSITY,27494
ALL,34,WORK,298341
ALL,35,WORK SUB-TOUR,3845
ALL,35,EATOUT,104278
ALL,35,ESCORT,72103
ALL,35,HOME,4249771
ALL,35,OTHER DISCRETIONARY,268249
ALL,35,OTHER MAINTENANCE,107184
ALL,35,SCHOOL,42351
ALL,35,SHOPPING,124777
ALL,35,SOCIAL,98281
ALL,35,UNIVERSITY,24332
ALL,35,WORK,228467
ALL,36,WORK SUB-TOUR,3588
ALL,36,EATOUT,81963
ALL,36,ESCORT,58472
ALL,36,HOME,4413218
ALL,36,OTHER DISCRETIONARY,207752
ALL,36,OTHER MAINTENANCE,87462
ALL,36,SCHOOL,30336
ALL,36,SHOPPING,102812
ALL,36,SOCIAL,86673
ALL,36,UNIVERSITY,19238
ALL,36,WORK,179739
ALL,37,WORK SUB-TOUR,3192
ALL,37,EATOUT,63366
ALL,37,ESCORT,45165
ALL,37,HOME,4577258
ALL,37,OTHER DISCRETIONARY,142021
ALL,37,OTHER MAINTENANCE,63158
ALL,37,SCHOOL,22412
ALL,37,SHOPPING,73620
ALL,37,SOCIAL,77302
ALL,37,UNIVERSITY,16395
ALL,37,WORK,142358
ALL,38,WORK SUB-TOUR,2733
ALL,38,EATOUT,48722
ALL,38,ESCORT,34980
ALL,38,HOME,4714274
