ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  80952.00,  14640.00,    654.00, 130112.00, 218618.00,   1188.00, 211064.00, 233258.00,   1842.00,  96246.00, 349918.00, 446164.00
      1.00,      2.00,  17850.00,   3262.00,    148.00,  23777.00,  49506.00,    279.00,  41627.00,  52768.00,    427.00,  21260.00,  73562.00,  94822.00
      1.00,      3.00,   7391.00,   1317.00,    283.00,   2926.00,   6257.00,    167.00,  10317.00,   7574.00,    450.00,   8991.00,   9350.00,  18341.00
      1.00,      4.00,   2734.00,    421.00,    342.00,    400.00,    940.00,     66.00,   3134.00,   1361.00,    408.00,   3497.00,   1406.00,   4903.00
      1.00,      5.00,    413.00,     74.00,     66.00,     64.00,    182.00,     13.00,    477.00,    256.00,     79.00,    553.00,    259.00,    812.00
      1.00,      6.00,   1582.00,    289.00,    352.00,    213.00,    779.00,     98.00,   1795.00,   1068.00,    450.00,   2223.00,   1090.00,   3313.00
      1.00,      7.00,    300.00,     68.00,     67.00,     62.00,     90.00,     13.00,    362.00,    158.00,     80.00,    435.00,    165.00,    600.00
      1.00,      8.00,    802.00,    169.00,    561.00,    134.00,    412.00,    101.00,    936.00,    581.00,    662.00,   1532.00,    647.00,   2179.00
      1.00,      9.00,    263.00,     82.00,     49.00,     55.00,    101.00,      6.00,    318.00,    183.00,     55.00,    394.00,    162.00,    556.00
      1.00,     10.00,     82.00,     19.00,      2.00,     16.00,     30.00,      1.00,     98.00,     49.00,      3.00,    103.00,     47.00,    150.00
      1.00,     11.00,    218.00,     74.00,     34.00,     44.00,     57.00,      8.00,    262.00,    131.00,     42.00,    326.00,    109.00,    435.00
      1.00,     12.00,     79.00,     16.00,      7.00,     22.00,     88.00,      2.00,    101.00,    104.00,      9.00,    102.00,    112.00,    214.00
      1.00,     15.00,    509.00,     89.00,         0,    129.00,    419.00,         0,    638.00,    508.00,         0,    598.00,    548.00,   1146.00
      1.00,     16.00,    428.00,     79.00,         0,    129.00,    258.00,         0,    557.00,    337.00,         0,    507.00,    387.00,    894.00
      1.00,     17.00,   7316.00,   1342.00,      1.00,   4432.00,  12280.00,      6.00,  11748.00,  13622.00,      7.00,   8659.00,  16718.00,  25377.00
      1.00,     18.00,   3691.00,    714.00,      3.00,   2540.00,   5989.00,      8.00,   6231.00,   6703.00,     11.00,   4408.00,   8537.00,  12945.00
      1.00,     21.00,     68.00,     25.00,     34.00,     12.00,      5.00,      3.00,     80.00,     30.00,     37.00,    127.00,     20.00,    147.00
      1.00,     22.00,    149.00,     50.00,      4.00,     24.00,     83.00,      2.00,    173.00,    133.00,      6.00,    203.00,    109.00,    312.00
      1.00,     23.00,     86.00,     25.00,      6.00,     13.00,     30.00,      1.00,     99.00,     55.00,      7.00,    117.00,     44.00,    161.00
      1.00,     24.00,     70.00,     19.00,      2.00,     16.00,     31.00,      2.00,     86.00,     50.00,      4.00,     91.00,     49.00,    140.00
      1.00,     31.00,   1566.00,    288.00,      1.00,    483.00,   1047.00,      9.00,   2049.00,   1335.00,     10.00,   1855.00,   1539.00,   3394.00
      1.00,     32.00,   5275.00,    959.00,      6.00,   3597.00,   9095.00,     20.00,   8872.00,  10054.00,     26.00,   6240.00,  12712.00,  18952.00
      1.00,     33.00,    272.00,     54.00,      1.00,     59.00,    106.00,      2.00,    331.00,    160.00,      3.00,    327.00,    167.00,    494.00
