TRIP MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,10110981
AUTO,DRIVEALONE,DRIVEALONEPAY,110456
AUTO,SHARED2,SHARED2FREE,4313518
AUTO,SHARED2,SHARED2PAY,16377
AUTO,SHARED3,SHARED3FREE,3022238
NONMOTORIZED,NONMOTORIZED,BIKE,89600
NONMOTORIZED,NONMOTORIZED,WALK,905740
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,955116
TRANSIT,KNR,KNR_ALLTRN,30739
TRANSIT,KNR,KNR_PRMTRN,24679
TRANSIT,PNR,PNR_ALLTRN,6259
TRANSIT,PNR,PNR_PRMTRN,60323
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,169540
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,50640
