ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,5
1,Fulton,DRIVEALONEFREE,931
1,Fulton,DRIVEALONEPAY,10
1,Fulton,KNR_ALLTRN,1
1,Fulton,KNR_PRMTRN,1
1,Fulton,PNR_ALLTRN,2
1,Fulton,PNR_PRMTRN,4
1,Fulton,SCHOOL_BUS,72
1,Fulton,SHARED2FREE,438
1,Fulton,SHARED2PAY,1
1,Fulton,SHARED3FREE,351
1,Fulton,TOTAL,1846
1,Fulton,WALK,30
2,Fulton,BIKE,9
2,Fulton,DRIVEALONEFREE,1690
2,Fulton,DRIVEALONEPAY,28
2,Fulton,KNR_ALLTRN,3
2,Fulton,KNR_PRMTRN,4
2,Fulton,PNR_ALLTRN,1
2,Fulton,PNR_PRMTRN,13
2,Fulton,SCHOOL_BUS,224
2,Fulton,SHARED2FREE,909
2,Fulton,SHARED2PAY,3
2,Fulton,SHARED3FREE,578
2,Fulton,SHARED3PAY,5
2,Fulton,TOTAL,3539
2,Fulton,WALK,72
3,Fulton,BIKE,47
3,Fulton,DRIVEALONEFREE,6657
3,Fulton,DRIVEALONEPAY,40
3,Fulton,KNR_ALLTRN,6
3,Fulton,KNR_PRMTRN,1
3,Fulton,PNR_ALLTRN,3
3,Fulton,PNR_PRMTRN,18
3,Fulton,SCHOOL_BUS,723
3,Fulton,SHARED2FREE,3562
3,Fulton,SHARED2PAY,7
3,Fulton,SHARED3FREE,2332
3,Fulton,SHARED3PAY,6
3,Fulton,TOTAL,14063
3,Fulton,WALK,661
4,Fulton,BIKE,12
4,Fulton,DRIVEALONEFREE,2261
4,Fulton,DRIVEALONEPAY,3
4,Fulton,KNR_ALLTRN,6
4,Fulton,KNR_PRMTRN,4
4,Fulton,PNR_ALLTRN,2
4,Fulton,PNR_PRMTRN,14
4,Fulton,SCHOOL_BUS,363
4,Fulton,SHARED2FREE,1213
4,Fulton,SHARED2PAY,1
4,Fulton,SHARED3FREE,853
4,Fulton,SHARED3PAY,1
4,Fulton,TOTAL,4795
4,Fulton,WALK,62
5,Fulton,BIKE,15
5,Fulton,DRIVEALONEFREE,2067
5,Fulton,DRIVEALONEPAY,1
5,Fulton,KNR_ALLTRN,7
5,Fulton,KNR_PRMTRN,11
