PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,WORK SUB-TOUR,120
ALL,1,EATOUT,314
ALL,1,ESCORT,2124
ALL,1,HOME,6306730
ALL,1,OTHER DISCRETIONARY,903
ALL,1,OTHER MAINTENANCE,2583
ALL,1,SCHOOL,1764
ALL,1,SHOPPING,1167
ALL,1,SOCIAL,448
ALL,1,UNIVERSITY,237
ALL,1,WORK,5721
ALL,2,WORK SUB-TOUR,386
ALL,2,EATOUT,714
ALL,2,ESCORT,4290
ALL,2,HOME,6293018
ALL,2,OTHER DISCRETIONARY,1583
ALL,2,OTHER MAINTENANCE,5543
ALL,2,SCHOOL,2771
ALL,2,SHOPPING,2681
ALL,2,SOCIAL,945
ALL,2,UNIVERSITY,429
ALL,2,WORK,14687
ALL,3,WORK SUB-TOUR,810
ALL,3,EATOUT,1208
ALL,3,ESCORT,6500
ALL,3,HOME,6277824
ALL,3,OTHER DISCRETIONARY,2782
ALL,3,OTHER MAINTENANCE,8578
ALL,3,SCHOOL,3380
ALL,3,SHOPPING,3948
ALL,3,SOCIAL,1653
ALL,3,UNIVERSITY,619
ALL,3,WORK,30039
ALL,4,WORK SUB-TOUR,1355
ALL,4,EATOUT,5314
ALL,4,ESCORT,9900
ALL,4,HOME,6256914
ALL,4,OTHER DISCRETIONARY,5491
ALL,4,OTHER MAINTENANCE,13549
ALL,4,SCHOOL,3763
ALL,4,SHOPPING,5601
ALL,4,SOCIAL,2795
ALL,4,UNIVERSITY,937
ALL,4,WORK,57688
ALL,5,WORK SUB-TOUR,2098
ALL,5,EATOUT,8725
ALL,5,ESCORT,12905
ALL,5,HOME,6219063
ALL,5,OTHER DISCRETIONARY,14334
ALL,5,OTHER MAINTENANCE,19085
ALL,5,SCHOOL,4003
ALL,5,SHOPPING,6655
ALL,5,SOCIAL,4036
ALL,5,UNIVERSITY,1471
ALL,5,WORK,117118
ALL,6,WORK SUB-TOUR,2931
ALL,6,EATOUT,11847
ALL,6,ESCORT,19890
ALL,6,HOME,6147858
ALL,6,OTHER DISCRETIONARY,22199
ALL,6,OTHER MAINTENANCE,27656
ALL,6,SCHOOL,4149
ALL,6,SHOPPING,9184
ALL,6,SOCIAL,5558
ALL,6,UNIVERSITY,2509
ALL,6,WORK,231347
ALL,7,WORK SUB-TOUR,3733
ALL,7,EATOUT,13989
ALL,7,ESCORT,36189
ALL,7,HOME,6023134
ALL,7,OTHER DISCRETIONARY,29404
ALL,7,OTHER MAINTENANCE,41420
ALL,7,SCHOOL,32163
ALL,7,SHOPPING,14025
ALL,7,SOCIAL,7656
ALL,7,UNIVERSITY,4576
ALL,7,WORK,414004
ALL,8,WORK SUB-TOUR,5050
ALL,8,EATOUT,16249
ALL,8,ESCORT,73613
ALL,8,HOME,5806217
ALL,8,OTHER DISCRETIONARY,37234
ALL,8,OTHER MAINTENANCE,60929
ALL,8,SCHOOL,150802
ALL,8,SHOPPING,23037
ALL,8,SOCIAL,10930
ALL,8,UNIVERSITY,8927
ALL,8,WORK,688184
ALL,9,WORK SUB-TOUR,7287
ALL,9,EATOUT,20544
ALL,9,ESCORT,163937
ALL,9,HOME,5403086
ALL,9,OTHER DISCRETIONARY,50534
