ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,      1.00,  80706.00,  15091.00,    626.00, 124811.00, 209011.00,   1117.00, 205517.00, 224102.00,   1743.00,  96423.00, 334939.00, 431362.00
      1.00,      2.00,  17591.00,   3274.00,    183.00,  22116.00,  47204.00,    378.00,  39707.00,  50478.00,    561.00,  21048.00,  69698.00,  90746.00
      1.00,      3.00,   7085.00,   1245.00,    283.00,   2711.00,   6141.00,    145.00,   9796.00,   7386.00,    428.00,   8613.00,   8997.00,  17610.00
      1.00,      4.00,   2759.00,    385.00,    333.00,    374.00,    978.00,     67.00,   3133.00,   1363.00,    400.00,   3477.00,   1419.00,   4896.00
      1.00,      5.00,    440.00,     71.00,     51.00,     62.00,    241.00,     13.00,    502.00,    312.00,     64.00,    562.00,    316.00,    878.00
      1.00,      6.00,   1448.00,    247.00,    342.00,    222.00,    589.00,    106.00,   1670.00,    836.00,    448.00,   2037.00,    917.00,   2954.00
      1.00,      7.00,    329.00,     63.00,     56.00,     64.00,    117.00,     19.00,    393.00,    180.00,     75.00,    448.00,    200.00,    648.00
      1.00,      8.00,    708.00,    169.00,    513.00,    112.00,    434.00,     99.00,    820.00,    603.00,    612.00,   1390.00,    645.00,   2035.00
      1.00,      9.00,    270.00,     89.00,     46.00,     54.00,    140.00,     14.00,    324.00,    229.00,     60.00,    405.00,    208.00,    613.00
      1.00,     10.00,     84.00,      9.00,         0,     30.00,     55.00,         0,    114.00,     64.00,         0,     93.00,     85.00,    178.00
      1.00,     11.00,    225.00,     51.00,     30.00,     52.00,    123.00,      2.00,    277.00,    174.00,     32.00,    306.00,    177.00,    483.00
      1.00,     12.00,     96.00,     12.00,      5.00,     29.00,     25.00,      6.00,    125.00,     37.00,     11.00,    113.00,     60.00,    173.00
      1.00,     15.00,    454.00,     79.00,         0,    115.00,    353.00,         0,    569.00,    432.00,         0,    533.00,    468.00,   1001.00
      1.00,     16.00,    377.00,     72.00,         0,    113.00,    294.00,         0,    490.00,    366.00,         0,    449.00,    407.00,    856.00
      1.00,     17.00,   6400.00,   1120.00,     11.00,   3723.00,  10720.00,      5.00,  10123.00,  11840.00,     16.00,   7531.00,  14448.00,  21979.00
      1.00,     18.00,   3403.00,    609.00,      2.00,   2154.00,   5332.00,      5.00,   5557.00,   5941.00,      7.00,   4014.00,   7491.00,  11505.00
      1.00,     21.00,     76.00,     21.00,     23.00,      6.00,     27.00,         0,     82.00,     48.00,     23.00,    120.00,     33.00,    153.00
      1.00,     22.00,    164.00,     46.00,      7.00,     41.00,     74.00,      1.00,    205.00,    120.00,      8.00,    217.00,    116.00,    333.00
      1.00,     23.00,     82.00,     18.00,      3.00,     16.00,     21.00,      3.00,     98.00,     39.00,      6.00,    103.00,     40.00,    143.00
      1.00,     24.00,     77.00,     12.00,      3.00,     12.00,     32.00,      1.00,     89.00,     44.00,      4.00,     92.00,     45.00,    137.00
      1.00,     31.00,   1582.00,    320.00,      5.00,    471.00,    965.00,     19.00,   2053.00,   1285.00,     24.00,   1907.00,   1455.00,   3362.00
      1.00,     32.00,   5092.00,    985.00,     13.00,   3340.00,   8500.00,      8.00,   8432.00,   9485.00,     21.00,   6090.00,  11848.00,  17938.00
      1.00,     33.00,    251.00,     43.00,      2.00,     48.00,    122.00,         0,    299.00,    165.00,      2.00,    296.00,    170.00,    466.00
      1.00,     34.00,    913.00,    173.00,      5.00,    294.00,    627.00,     19.00,   1207.00,    800.00,     24.00,   1091.00,    940.00,   2031.00
      1.00,     35.00,   1974.00,    348.00,     27.00,    344.00,    770.00,     11.00,   2318.00,   1118.00,     38.00,   2349.00,   1125.00,   3474.00
      1.00,     36.00,    461.00,     70.00,      9.00,     90.00,    182.00,         0,    551.00,    252.00,      9.00,    540.00,    272.00,    812.00
      1.00,     41.00,   4839.00,    827.00,    202.00,   1556.00,   4024.00,     79.00,   6395.00,   4851.00,    281.00,   5868.00,   5659.00,  11527.00
      1.00,     43.00,   1025.00,    180.00,     32.00,    242.00,    912.00,     34.00,   1267.00,   1092.00,     66.00,   1237.00,   1188.00,   2425.00
      1.00,     44.00,   1532.00,    261.00,     16.00,    418.00,   1010.00,     18.00,   1950.00,   1271.00,     34.00,   1809.00,   1446.00,   3255.00
      1.00,     45.00,    124.00,     23.00,     15.00,     19.00,     95.00,      3.00,    143.00,    118.00,     18.00,    162.00,    117.00,    279.00
      1.00,     46.00,    168.00,     16.00,     11.00,     30.00,     39.00,      3.00,    198.00,     55.00,     14.00,    195.00,     72.00,    267.00
      1.00,     47.00,    347.00,     54.00,     32.00,     71.00,    130.00,      2.00,    418.00,    184.00,     34.00,    433.00,    203.00,    636.00
      1.00,     48.00,    411.00,     60.00,     12.00,     81.00,    124.00,      5.00,    492.00,    184.00,     17.00,    483.00,    210.00,    693.00
      1.00,     49.00,    286.00,     49.00,      5.00,     71.00,    104.00,      6.00,    357.00,    153.00,     11.00,    340.00,    181.00,    521.00
      1.00,     51.00,     60.00,     12.00,      1.00,     20.00,     29.00,         0,     80.00,     41.00,      1.00,     73.00,     49.00,    122.00
      1.00,     52.00,    142.00,     12.00,      2.00,     41.00,     77.00,         0,    183.00,     89.00,      2.00,    156.00,    118.00,    274.00
      1.00,     61.00,     29.00,      6.00,         0,      5.00,     45.00,         0,     34.00,     51.00,         0,     35.00,     50.00,     85.00
      1.00,     62.00,     38.00,     10.00,      1.00,      9.00,     38.00,         0,     47.00,     48.00,      1.00,     49.00,     47.00,     96.00
      1.00,     71.00,   5687.00,   1004.00,      1.00,   2601.00,   6750.00,      8.00,   8288.00,   7754.00,      9.00,   6692.00,   9359.00,  16051.00
      1.00,     72.00,   9955.00,   1972.00,     23.00,   8673.00,  20404.00,     45.00,  18628.00,  22376.00,     68.00,  11950.00,  29122.00,  41072.00
      1.00,     73.00,    929.00,    151.00,         0,    191.00,    340.00,         0,   1120.00,    491.00,         0,   1080.00,    531.00,   1611.00
      1.00,     74.00,   7274.00,   1462.00,     29.00,   4611.00,  11433.00,     38.00,  11885.00,  12895.00,     67.00,   8765.00,  16082.00,  24847.00
      1.00,     75.00,    939.00,    177.00,      1.00,    407.00,    979.00,      2.00,   1346.00,   1156.00,      3.00,   1117.00,   1388.00,   2505.00
      1.00,     76.00,    894.00,    147.00,         0,    234.00,    526.00,      2.00,   1128.00,    673.00,      2.00,   1041.00,    762.00,   1803.00
      1.00,     81.00,    108.00,     12.00,         0,     20.00,     28.00,         0,    128.00,     40.00,         0,    120.00,     48.00,    168.00
      1.00,     82.00,     44.00,      3.00,         0,     12.00,     19.00,         0,     56.00,     22.00,         0,     47.00,     31.00,     78.00
      1.00,     83.00,     64.00,     11.00,         0,     13.00,      7.00,         0,     77.00,     18.00,         0,     75.00,     20.00,     95.00
      1.00,     91.00,     82.00,     19.00,      1.00,     13.00,      9.00,         0,     95.00,     28.00,      1.00,    102.00,     22.00,    124.00
      1.00,     92.00,    104.00,     18.00,         0,     31.00,     47.00,      1.00,    135.00,     65.00,      1.00,    122.00,     79.00,    201.00
      1.00,    101.00,    319.00,     47.00,         0,     59.00,     73.00,         0,    378.00,    120.00,         0,    366.00,    132.00,    498.00
      1.00,    102.00,    216.00,     40.00,         0,     30.00,     62.00,         0,    246.00,    102.00,         0,    256.00,     92.00,    348.00
      1.00,    111.00,     37.00,      6.00,         0,     15.00,     27.00,         0,     52.00,     33.00,         0,     43.00,     42.00,     85.00
      1.00,    112.00,     76.00,     13.00,         0,     33.00,     53.00,         0,    109.00,     66.00,         0,     89.00,     86.00,    175.00
      1.00,    113.00,     74.00,     18.00,         0,     23.00,     87.00,         0,     97.00,    105.00,         0,     92.00,    110.00,    202.00
      1.00,    114.00,    232.00,     45.00,         0,     72.00,    114.00,         0,    304.00,    159.00,         0,    277.00,    186.00,    463.00
      1.00,    121.00,     14.00,         0,         0,      4.00,      3.00,         0,     18.00,      3.00,         0,     14.00,      7.00,     21.00
      1.00,    122.00,      1.00,         0,         0,         0,      1.00,         0,      1.00,      1.00,         0,      1.00,      1.00,      2.00
      1.00,    123.00,      5.00,         0,         0,      2.00,      2.00,         0,      7.00,      2.00,         0,      5.00,      4.00,      9.00
      1.00,    124.00,      1.00,         0,         0,         0,         0,         0,      1.00,         0,         0,      1.00,         0,      1.00
      1.00,    131.00,      4.00,      1.00,         0,      3.00,      2.00,         0,      7.00,      3.00,         0,      5.00,      5.00,     10.00
      1.00,    132.00,     17.00,      1.00,         0,      4.00,      9.00,         0,     21.00,     10.00,         0,     18.00,     13.00,     31.00
      1.00,    133.00,      1.00,         0,         0,         0,         0,         0,      1.00,         0,         0,      1.00,         0,      1.00
      1.00,    134.00,      3.00,         0,         0,      1.00,         0,         0,      4.00,         0,         0,      3.00,      1.00,      4.00
      1.00,    141.00,   3471.00,    557.00,         0,    665.00,   1781.00,      1.00,   4136.00,   2338.00,      1.00,   4028.00,   2447.00,   6475.00
      1.00,    142.00,  12275.00,   2180.00,     19.00,   4871.00,  13822.00,     19.00,  17146.00,  16002.00,     38.00,  14474.00,  18712.00,  33186.00
      1.00,    143.00,  16318.00,   3064.00,     60.00,  17204.00,  36854.00,     70.00,  33522.00,  39918.00,    130.00,  19442.00,  54128.00,  73570.00
      1.00,    151.00,    301.00,     43.00,         0,     47.00,    143.00,         0,    348.00,    186.00,         0,    344.00,    190.00,    534.00
      1.00,    152.00,    707.00,    121.00,      1.00,    107.00,    291.00,         0,    814.00,    412.00,      1.00,    829.00,    398.00,   1227.00
      1.00,    153.00,    884.00,    151.00,      1.00,    179.00,    351.00,         0,   1063.00,    502.00,      1.00,   1036.00,    530.00,   1566.00
      1.00,    163.00,    112.00,     19.00,         0,     29.00,     46.00,         0,    141.00,     65.00,         0,    131.00,     75.00,    206.00
      1.00,    164.00,     10.00,      2.00,         0,      2.00,      4.00,         0,     12.00,      6.00,         0,     12.00,      6.00,     18.00
      1.00,    171.00,    108.00,     17.00,         0,     33.00,     46.00,         0,    141.00,     63.00,         0,    125.00,     79.00,    204.00
      1.00,    172.00,     28.00,      5.00,         0,     19.00,     12.00,         0,     47.00,     17.00,         0,     33.00,     31.00,     64.00
      1.00,    173.00,    256.00,     41.00,      1.00,     67.00,     53.00,         0,    323.00,     94.00,      1.00,    298.00,    120.00,    418.00
      1.00,    181.00,      4.00,      2.00,         0,      4.00,     52.00,         0,      8.00,     54.00,         0,      6.00,     56.00,     62.00
      1.00,    182.00,      3.00,         0,         0,      1.00,         0,         0,      4.00,         0,         0,      3.00,      1.00,      4.00
      1.00,    191.00,    218.00,     34.00,      1.00,     41.00,     85.00,      1.00,    259.00,    119.00,      2.00,    253.00,    127.00,    380.00
      1.00,    192.00,    115.00,     20.00,         0,     37.00,     41.00,         0,    152.00,     61.00,         0,    135.00,     78.00,    213.00
      2.00,      1.00,  17735.00,   3301.00,    170.00,  22160.00,  47143.00,    366.00,  39895.00,  50444.00,    536.00,  21206.00,  69669.00,  90875.00
      2.00,      2.00,  27710.00,   4957.00,    223.00,  58123.00, 111155.00,    535.00,  85833.00, 116112.00,    758.00,  32890.00, 169813.00, 202703.00
      2.00,      3.00,   7421.00,   1198.00,    216.00,   6463.00,  14254.00,    259.00,  13884.00,  15452.00,    475.00,   8835.00,  20976.00,  29811.00
      2.00,      4.00,   2287.00,    356.00,    273.00,    479.00,   1313.00,     84.00,   2766.00,   1669.00,    357.00,   2916.00,   1876.00,   4792.00
